name,code,industry,intro,logo,source
台积电,2330,半导体制造,全球领先晶圆代工企业，提供先进制程与特殊制程服务。,logo-086.png,图中公司
联发科,2454,IC设计,台湾主要IC设计公司，产品涵盖手机、电视、网络与物联网芯片。,logo-088.png,图中公司
台达电子,2308,电源与自动化,电源管理、散热、工业自动化与基础设施解决方案供应商。,,图中公司
鸿海精密,2317,电子制造服务,全球大型电子制造服务企业，业务涵盖消费电子、云端网络与电动车。,,图中公司
日月光投控,3711,半导体封测,全球主要半导体封装测试服务供应商。,logo-090.png,图中公司
联华电子,2303,半导体制造,台湾晶圆代工企业，专注成熟制程与特殊制程。,logo-093.png,图中公司
智邦科技,2345,网络通信设备,网络交换器、资料中心与企业网络设备制造商。,logo-094.png,图中公司
富邦金控,2881,金融控股,台湾大型金融控股公司，业务包含银行、保险与证券。,logo-084.png,图中公司
欣兴电子,3037,PCB/载板,IC载板与印刷电路板制造商。,logo-087.png,图中公司
国泰金控,2882,金融控股,台湾大型金融控股公司，旗下包含寿险、银行、证券等业务。,logo-081.png,图中公司
广达电脑,2382,电子代工/服务器,笔电、服务器与云端硬体设计制造服务企业。,logo-085.png,图中公司
中信金控,2891,金融控股,台湾金融控股公司，核心业务为银行、证券、保险等。,logo-089.png,图中公司
中华电信,2412,电信服务,台湾主要电信服务商，提供固定、行动、宽频与企业资通讯服务。,logo-091.png,图中公司
国巨,2327,被动元件,被动元件制造商，产品包括电阻、电容及无线元件。,,图中公司
纬颖,6669,服务器/云端硬体,云端资料中心服务器、储存与机柜级解决方案供应商。,logo-008.png,图中公司
致茂电子,2360,测试量测设备,测试量测、自自动化检测与电源电子相关设备供应商。,,图中公司
南亚科技,2408,DRAM记忆体,台湾DRAM记忆体制造公司。,logo-002.png,图中公司
元大金控,2885,金融控股,金融控股集团，业务包含证券、银行、投信与期货。,logo-006.png,图中公司
南亚塑胶,1303,塑化材料,塑胶、化纤、电子材料与化工产品制造商。,logo-010.png,图中公司
兆丰金控,2886,金融控股,台湾金融控股公司，业务涵盖银行、证券、票券与保险。,logo-004.png,图中公司
创意电子,3443,IC设计服务,ASIC设计服务与IP整合公司。,logo-007.png,图中公司
中钢,2002,钢铁,台湾主要一贯作业钢铁厂，供应钢品与相关材料。,logo-001.png,图中公司
台新金控,2887,金融控股,金融控股公司，业务涵盖银行、证券与保险代理等。,logo-005.png,图中公司
玉山金控,2884,金融控股,以银行为核心的金融控股公司。,logo-009.png,图中公司
南亚电路板,8046,PCB/载板,IC载板与印刷电路板制造商。,logo-003.png,图中公司
台塑石化,6505,石化/炼油,炼油、烯烃与石化原料生产企业。,logo-016.png,图中公司
华硕,2357,电脑与消费电子,电脑、主机板、笔电、电竞与消费电子品牌。,logo-020.png,图中公司
光宝科技,2301,光电/电源,电源供应、光电、车用电子与云端应用产品制造商。,logo-014.png,图中公司
华南金控,2880,金融控股,台湾金融控股公司，主要业务包含银行与证券。,logo-018.png,图中公司
大立光,3008,光学镜头,精密光学镜头供应商，应用于手机与电子装置。,logo-012.png,图中公司
永丰金控,2890,金融控股,金融控股集团，业务包含银行、证券与租赁等。,logo-015.png,图中公司
长荣海运,2603,航运,全球货柜航运公司，经营国际海运航线。,logo-019.png,图中公司
统一企业,1216,食品饮料,食品饮料与通路事业集团。,logo-013.png,图中公司
纬创,3231,电子代工,资讯产品与服务器等电子制造服务企业。,logo-017.png,图中公司
第一金控,2892,金融控股,台湾金融控股公司，核心为第一银行。,logo-011.png,图中公司
研华,2395,工业电脑,工业电脑、嵌入式系统与物联网解决方案供应商。,logo-024.png,图中公司
凯基金控,2883,金融控股,金融控股集团，业务覆盖证券、银行、保险与资产管理。,logo-028.png,图中公司
世芯-KY,3661,IC设计服务,ASIC设计服务公司，服务高效能运算与客制化芯片需求。,logo-022.png,图中公司
合作金库金控,5880,金融控股,台湾金融控股公司，核心为合作金库银行。,logo-026.png,图中公司
远传电信,4904,电信服务,行动通信、宽频、企业资通讯与数位服务提供商。,logo-056.png,图中公司
台湾大哥大,3045,电信服务,行动通信、宽频与数位服务供应商。,logo-023.png,图中公司
环球晶圆,6488,半导体材料,半导体硅晶圆供应商。,logo-027.png,图中公司
群创光电,3481,面板,TFT-LCD面板与显示器解决方案制造商。,logo-021.png,图中公司
药华医药,6446,生技医药,生技药品研发与商业化公司。,logo-025.png,图中公司
世界先进,5347,半导体制造,晶圆代工企业，专注成熟制程与特殊制程。,logo-029.png,图中公司
台塑,1301,塑化材料,塑胶原料与石化产品制造商。,logo-033.png,图中公司
亚德客,1590,气动元件,气动元件与自动化零组件制造商。,logo-037.png,图中公司
瑞昱半导体,2379,IC设计,网络通信、多媒体与电脑周边芯片设计公司。,logo-031.png,图中公司
联咏科技,3034,IC设计,显示驱动IC与影像相关芯片设计公司。,logo-035.png,图中公司
台化,1326,石化/纺织,石化、塑胶、纤维与纺织相关产品制造商。,logo-039.png,图中公司
和泰汽车,2207,汽车销售,台湾主要汽车代理与销售服务集团。,logo-032.png,图中公司
力积电,6770,半导体制造,晶圆代工与记忆体相关制造企业。,logo-036.png,图中公司
力旺电子,3529,半导体IP,嵌入式非挥发性记忆体IP供应商。,logo-040.png,图中公司
彰化银行,2801,银行,台湾商业银行，提供存放款、外汇与金融服务。,logo-034.png,图中公司
万海航运,2615,航运,货柜航运公司，经营亚洲与国际航线。,logo-042.png,图中公司
新光金控,2888,金融控股,金融控股公司，业务包含寿险与银行。,logo-046.png,图中公司
和硕,4938,电子代工,电子制造服务企业，提供电脑、通讯与消费电子产品制造。,logo-050.png,图中公司
鈊象电子,3293,游戏软件,游戏研发与营运公司，产品涵盖商用游戏与线上游戏。,logo-044.png,图中公司
上海商银,5876,银行,商业银行，提供个人与企业金融服务。,logo-048.png,图中公司
稳懋半导体,3105,化合物半导体,砷化镓与化合物半导体晶圆代工企业。,logo-041.png,图中公司
中租,5871,租赁金融,租赁、分期、企业金融与国际金融服务集团。,logo-045.png,图中公司
长荣航空,2618,航空运输,台湾国际航空公司，提供客运与货运服务。,logo-049.png,图中公司
台湾水泥,1101,水泥/建材,水泥、建材、能源与环保相关事业集团。,logo-043.png,图中公司
阳明海运,2609,航运,台湾货柜航运公司，经营国际航线。,logo-047.png,图中公司
采钰科技,6789,影像感测/半导体,影像感测晶圆级封装与光学相关技术企业。,logo-052.png,图中公司
康霈生技,6919,生技医药,生技医药公司，聚焦新药研发。,logo-053.png,图中公司
台湾企银,2834,银行,台湾中小企业银行，服务中小企业与个人金融。,logo-054.png,图中公司
台湾高铁,2633,铁路运输,经营台湾高速铁路运输服务。,logo-055.png,图中公司
远东新世纪,1402,纺织/化工,聚酯、纺织、化工材料与投资事业集团。,logo-056.png,图中公司
联强国际,2347,资讯通路,资讯、通讯与电子产品通路服务商。,logo-051.png,图中公司
亚洲水泥,1102,水泥/建材,水泥与建材制造企业。,logo-058.png,图中公司
中华航空,2610,航空运输,台湾航空公司，经营国际客货运航线。,logo-057.png,图中公司
奇景光电,HIMX,IC设计/显示芯片,显示驱动IC、影像处理与光学相关芯片设计公司。,,图中公司
微星科技,2377,电脑与电竞硬体,主机板、显卡、笔电与电竞硬体品牌。,,图中公司
群光电子,2385,电脑周边/电源,键盘、摄像头、电源供应器与电子零组件制造商。,logo-066.png,图中公司
中美晶,5483,半导体材料/太阳能,硅晶圆与半导体材料相关企业。,logo-060.png,图中公司
宏碁,2353,电脑品牌,电脑、显示器与消费电子品牌。,logo-064.png,图中公司
台胜科,3532,半导体材料,硅晶圆材料制造商。,logo-086.png,图中公司
南茂科技,8150,半导体封测,记忆体与显示驱动IC封测服务供应商。,logo-062.png,图中公司
牧德科技,3563,AOI检测设备,自动光学检测设备制造商。,logo-065.png,图中公司
富邦媒,8454,电商/零售,momo电商平台经营者。,logo-059.png,图中公司
保瑞药业,6472,制药,药品制造、研发与CDMO服务企业。,logo-063.png,图中公司
宏达电,2498,消费电子/VR,智慧手机、虚拟实境与沉浸式科技品牌。,logo-067.png,图中公司
