name,code,industry,intro,logo,source,国际知名度评分,国际影响力评分,知名度排名,影响力排名,排名说明
台积电,2330,半导体制造,全球领先晶圆代工企业，提供先进制程与特殊制程服务。,logo-086.png,图中公司,10.0,10.0,1,1,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
华硕,2357,电脑与消费电子,电脑、主机板、笔电、电竞与消费电子品牌。,logo-020.png,图中公司,9.6,8.4,2,9,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
鸿海精密,2317,电子制造服务,全球大型电子制造服务企业，业务涵盖消费电子、云端网络与电动车。又常以富士康/Foxconn 名称被全球熟知。,,图中公司,9.5,9.8,3,2,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
宏碁,2353,电脑品牌,电脑、显示器与消费电子品牌。,logo-064.png,图中公司,9.2,7.3,4,32,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
佳明,GRMN,GPS/穿戴设备,Garmin，全球知名 GPS 导航、运动穿戴与户外设备品牌。,logo-099.png,logo墙新增,9.2,7.2,5,36,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
联发科,2454,IC设计,台湾主要IC设计公司，产品涵盖手机、电视、网络与物联网芯片。,logo-088.png,图中公司,9.0,9.3,6,3,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
微星科技,2377,电脑与电竞硬体,主机板、显卡、笔电与电竞硬体品牌。,,图中公司,8.8,7.6,7,25,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
巨大机械,9921,自行车,Giant自行车品牌与制造商。旗下捷安特 Giant 是全球知名自行车品牌。,,新增台湾企业,8.8,7.0,8,42,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
宏达电,2498,消费电子/VR,智慧手机、虚拟实境与沉浸式科技品牌。,logo-067.png,图中公司,8.5,6.7,9,68,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
技嘉科技,2376,电脑硬体,主机板、显卡、服务器与电竞产品品牌。旗下 GIGABYTE 品牌在主板、显卡与电竞硬件领域具备国际知名度。,,新增台湾企业,8.5,7.4,10,29,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
长荣海运,2603,航运,全球货柜航运公司，经营国际海运航线。,logo-019.png,图中公司,8.4,8.6,11,8,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
康师傅,0322.HK,食品饮料,食品饮料集团，产品涵盖方便面、饮料与糕饼。,logo-097.png,图中公司,8.3,6.6,12,73,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
美利达,9914,自行车,自行车品牌与制造商。,logo-077.png,图中公司,8.2,6.7,13,69,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
旺旺,0151.HK,食品饮料,食品饮料集团，产品涵盖米果、乳饮与休闲食品。,logo-096.png,图中公司,8.1,6.0,14,84,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
正新橡胶,2105,轮胎,轮胎品牌与制造商。旗下正新轮胎/Maxxis 是国际轮胎品牌。,,新增台湾企业,7.8,7.1,15,39,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
长荣航空,2618,航空运输,台湾国际航空公司，提供客运与货运服务。,logo-049.png,图中公司,7.7,6.7,16,64,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中华航空,2610,航空运输,台湾航空公司，经营国际客货运航线。,logo-057.png,图中公司,7.5,6.5,17,78,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台达电子,2308,电源与自动化,电源管理、散热、工业自动化与基础设施解决方案供应商。,,图中公司,7.4,8.9,18,5,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
统一企业,1216,食品饮料,食品饮料与通路事业集团。,logo-013.png,图中公司,7.3,6.2,19,80,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
威克多,未上市,体育用品,VICTOR，台湾羽毛球运动用品品牌，产品包括球拍、球鞋、服装与专业装备。,logo-105.png,logo墙新增,7.3,5.3,20,108,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
研华,2395,工业电脑,工业电脑、嵌入式系统与物联网解决方案供应商。,logo-024.png,图中公司,7.0,7.7,21,22,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
联华电子,2303,半导体制造,台湾晶圆代工企业，专注成熟制程与特殊制程。,logo-093.png,图中公司,6.9,8.8,22,6,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
大润发,未上市,零售/量贩超市,RT-MART，大型连锁量贩零售品牌，经营超市与综合零售通路。,logo-101.png,logo墙新增,6.9,5.1,23,126,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
日月光投控,3711,半导体封测,全球主要半导体封装测试服务供应商。,logo-090.png,图中公司,6.8,9.1,24,4,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
华擎科技,3515,电脑硬体,主机板、迷你电脑与服务器产品公司。,,新增台湾企业,6.8,6.2,25,81,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
精英电脑,2331,电脑硬体,主机板、电脑与电子产品制造商。,,新增台湾企业,6.8,6.2,26,82,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
威刚科技,3260,记忆体模组,DRAM、SSD与储存产品品牌。,,新增台湾企业,6.8,5.8,27,97,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
阳明海运,2609,航运,台湾货柜航运公司，经营国际航线。,logo-047.png,图中公司,6.7,7.6,28,24,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
创见资讯,2451,记忆体模组,记忆体模组、SSD与储存产品品牌。,,新增台湾企业,6.7,5.7,29,101,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
广达电脑,2382,电子代工/服务器,笔电、服务器与云端硬体设计制造服务企业。,logo-085.png,图中公司,6.6,8.7,30,7,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台塑,1301,塑化材料,塑胶原料与石化产品制造商。,logo-033.png,图中公司,6.6,6.9,31,45,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
桂盟国际,5306,自行车零组件,自行车链条与传动零组件供应商。,,新增台湾企业,6.6,5.9,32,90,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
统一超商,2912,零售通路,7-ELEVEN台湾经营者，便利商店与零售服务企业。,,新增台湾企业,6.5,5.5,33,104,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
纬创,3231,电子代工,资讯产品与服务器等电子制造服务企业。,logo-017.png,图中公司,6.4,8.2,34,10,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
全家便利商店,5903,零售通路,FamilyMart台湾经营者，便利商店连锁企业。,,新增台湾企业,6.4,5.1,35,125,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
瑞昱半导体,2379,IC设计,网络通信、多媒体与电脑周边芯片设计公司。,logo-031.png,图中公司,6.3,7.5,36,28,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
玩美移动,PERF,美妆科技/AI影像,提供AI美妆、影像与AR虚拟试用技术。,logo-070.png,图中公司,6.3,5.9,37,89,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
友达光电,2409,面板,显示面板与相关显示技术企业。,,新增台湾企业,6.3,6.7,38,70,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
和硕,4938,电子代工,电子制造服务企业，提供电脑、通讯与消费电子产品制造。,logo-050.png,图中公司,6.2,7.9,39,15,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
群联电子,8299,储存控制IC,NAND Flash控制芯片与储存解决方案供应商。,,新增台湾企业,6.1,7.0,40,40,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中华电信,2412,电信服务,台湾主要电信服务商，提供固定、行动、宽频与企业资通讯服务。,logo-091.png,图中公司,6.0,5.9,41,87,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
大立光,3008,光学镜头,精密光学镜头供应商，应用于手机与电子装置。,logo-012.png,图中公司,6.0,7.2,42,34,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
大同,2371,电机/家电,电机、能源、家电与系统工程企业。,,新增台湾企业,6.0,4.8,43,134,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
纬颖,6669,服务器/云端硬体,云端资料中心服务器、储存与机柜级解决方案供应商。,logo-008.png,图中公司,5.9,8.1,44,13,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台塑石化,6505,石化/炼油,炼油、烯烃与石化原料生产企业。,logo-016.png,图中公司,5.9,6.9,45,44,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
群创光电,3481,面板,TFT-LCD面板与显示器解决方案制造商。,logo-021.png,图中公司,5.9,6.6,46,71,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
世界先进,5347,半导体制造,晶圆代工企业，专注成熟制程与特殊制程。,logo-029.png,图中公司,5.9,8.2,47,11,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
联咏科技,3034,IC设计,显示驱动IC与影像相关芯片设计公司。,logo-035.png,图中公司,5.9,6.9,48,46,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
力积电,6770,半导体制造,晶圆代工与记忆体相关制造企业。,logo-036.png,图中公司,5.9,8.2,49,12,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
立荣航空,长荣航空子公司,航空运输,区域航线航空公司。,,新增台湾企业,5.9,5.8,50,99,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
华信航空,中华航空子公司,航空运输,区域航空公司，经营国内与区域航线。,,新增台湾企业,5.9,5.8,51,100,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
国巨,2327,被动元件,被动元件制造商，产品包括电阻、电容及无线元件。,,图中公司,5.8,7.3,52,31,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
南亚塑胶,1303,塑化材料,塑胶、化纤、电子材料与化工产品制造商。,logo-010.png,图中公司,5.8,6.5,53,77,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
创意电子,3443,IC设计服务,ASIC设计服务与IP整合公司。,logo-007.png,图中公司,5.8,7.7,54,21,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
世芯-KY,3661,IC设计服务,ASIC设计服务公司，服务高效能运算与客制化芯片需求。,logo-022.png,图中公司,5.8,7.7,55,23,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
万海航运,2615,航运,货柜航运公司，经营亚洲与国际航线。,logo-042.png,图中公司,5.8,6.8,56,51,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
奇景光电,HIMX,IC设计/显示芯片,显示驱动IC、影像处理与光学相关芯片设计公司。,,图中公司,5.8,6.6,57,72,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
新唐科技,4919,半导体,微控制器、语音IC与半导体解决方案供应商。,,新增台湾企业,5.8,8.1,58,14,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
建大工业,2106,轮胎,轮胎与橡胶产品制造商。,,新增台湾企业,5.8,6.0,59,85,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
